List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,DOB,Age,Specialism,Batting sytle,Player description,Previous IPLTeam(s),Team 2024,Total IPL played,C/U/A,Price Rs Lakh
189,27,SP3,Nqabayomzi,Peter,South Africa,09-12-2001,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
190,27,SP3,Tanveer,Sangha,Australia,26-11-2001,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
191,27,SP3,Tabraiz,Shamsi,South Africa,18-02-1990,35,BOWLER,RHB,LEFT ARM Slow Unorthodox,"RCB,RR",,,Capped,200
192,27,SP3,Jeffery,Vandersay,Sri Lanka,05-02-1990,35,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
193,28,UBA3,Sachin,Baby,India,18-12-1988,36,BATTER,LHB,RIGHT ARM Off Spin,"RR,SRH,RCB",,,Uncapped,30
194,28,UBA3,Priyam,Garg,India,30-11-2000,24,BATTER,RHB,,"SRH,DC",,,Uncapped,30
195,28,UBA3,Harnoor,Pannu,India,30-01-2003,22,BATTER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,30
196,28,UBA3,Smaran,Ravichandran,India,05-05-2003,21,BATTER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
197,28,UBA3,Shashwat,Rawat,India,06-04-2001,24,BATTER,RHB,RIGHT ARM Medium,,,,Uncapped,30
198,28,UBA3,Andre,Siddarth,India,28-08-2006,18,BATTER,RHB,,,,,Uncapped,30
199,28,UBA3,Avneesh,Sudha,India,20-11-2001,23,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
200,28,UBA3,Apoorv,Wankhade,India,14-03-1992,33,BATTER,RHB,,KKR,,,Uncapped,30
201,29,UAL3,Yudhvir,Charak,India,13-09-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"MI,LSG",LSG,2,Uncapped,30
202,29,UAL3,Rishi,Dhawan,India,19-02-1990,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"MI,KKR,PBKS",PBKS,1,Uncapped,30
203,29,UAL3,Rajvardhan,Hangargekar,India,10-11-2002,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,CSK,CSK,0,Uncapped,30
204,29,UAL3,Tanush,Kotian,India,16-10-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RR,RR,1,Uncapped,30
205,29,UAL3,Arshin,Kulkarni,India,15-02-2005,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,LSG,LSG,2,Uncapped,30
206,29,UAL3,Shams,Mulani,India,13-03-1997,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,MI,MI,2,Uncapped,30
207,29,UAL3,Shivam,Singh,India,25-11-1995,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,PBKS,PBKS,1,Uncapped,30
208,29,UAL3,Lalit,Yadav,India,03-01-1997,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,DC,DC,2,Uncapped,30
209,30,UWK3,Mohammed,Azharuddeen,India,22-03-1994,31,WICKETKEEPER,RHB,,RCB,,,Uncapped,30
210,30,UWK3,L.R,Chethan,India,25-05-2000,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
211,30,UWK3,Aryaman Singh,Dhaliwal,India,30-04-2002,22,WICKETKEEPER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
212,30,UWK3,Urvil,Patel,India,17-10-1998,26,WICKETKEEPER,RHB,,GT,,,Uncapped,30
213,30,UWK3,Sanskar,Rawat,India,14-06-2005,19,WICKETKEEPER,LHB,,,,,Uncapped,30
214,30,UWK3,Bipin,Saurabh,India,20-11-1999,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
215,30,UWK3,Tanay,Thyagarajann,India,15-11-1995,29,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
216,31,UFA3,Money,Grewal,India,04-10-2000,24,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
217,31,UFA3,Ashwani,Kumar,India,29-08-2001,23,BOWLER,LHB,LEFT ARM Fast,,,,Uncapped,30
218,31,UFA3,Ishan,Porel,India,05-09-1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
219,31,UFA3,Abhilash,Shetty,India,06-06-1998,26,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,30
220,31,UFA3,Akash,Singh,India,26-04-2002,22,BOWLER,RHB,LEFT ARM Fast,,,,Uncapped,30
221,31,UFA3,Gurjapneet,Singh,India,08-11-1998,26,BOWLER,RHB,LEFT ARM Fast Medium,,,,Uncapped,30
222,31,UFA3,Basil,Thampi,India,11-09-1993,31,BOWLER,RHB,RIGHT ARM Fast,"GL,SRH,MI",,,Uncapped,30
223,32,USP3,Murugan,Ashwin,India,08-09-1990,34,BOWLER,RHB,RIGHT ARM Leg Spin,"RPS,DC,RCB,PBKS,MI,RR",,,Uncapped,30
224,32,USP3,Shreyas,Chavan,India,01-09-2003,21,BOWLER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,30
225,32,USP3,Chintal,Gandhi,India,25-08-1994,30,BOWLER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,30
226,32,USP3,Raghav,Goyal,India,20-06-2001,23,BOWLER,LHB,LEFT ARM Slow Unorthodox,MI,,,Uncapped,30
227,32,USP3,Jagadeesha,Suchith,India,16-01-1994,31,BOWLER,LHB,LEFT ARM Slow Orthodox,"MI,DC,PBKS,SRH",,,Uncapped,30
228,32,USP3,Roshan,Waghsare,India,07-09-2003,21,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,Uncapped,30
229,32,USP3,Bailapudi,Yeswanth,India,19-03-2005,20,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
230,33,BA4,Sediqullah,Atal,Afghanistan,12-08-2001,23,BATTER,LHB,,,,,Capped,75
231,33,BA4,Matthew,Breetzke,South Africa,03-11-1998,26,BATTER,RHB,,,,,Capped,75
232,33,BA4,Mark,Chapman,New Zealand,27-06-1994,30,BATTER,LHB,LEFT ARM Slow Orthodox,,,,Capped,150
233,33,BA4,Brandon,King,West Indies,16-12-1994,30,BATTER,RHB,RIGHT ARM Off Spin,,,,Capped,75
234,33,BA4,Evin,Lewis,West Indies,27-12-1991,33,BATTER,LHB,,"MI,RR,LSG",,,Capped,200
235,33,BA4,Pathum,Nissanka,Sri Lanka,18-05-1998,26,BATTER,RHB,RIGHT ARM Off Spin,,,,Capped,75
236,33,BA4,Bhanuka,Rajapaksa,Sri Lanka,24-10-1991,33,BATTER,LHB,,PBKS,,,Capped,75
237,33,BA4,Steve,Smith,Australia,02-06-1989,35,BATTER,RHB,,"PWI,RPS,RR,DC",,,Capped,200
238,34,AL4,Gus,Atkinson,England,19-01-1998,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,KKR,KKR,0,Capped,200
239,34,AL4,Tom,Curran,England,12-03-1995,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"KKR,RR,DC,RCB",RCB,0,Capped,200
240,34,AL4,Krishnappa,Gowtham,India,20-10-1988,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"MI,RR,PBKS,CSK,LSG",LSG,1,Capped,100
241,34,AL4,Mohammad,Nabi,Afghanistan,01-01-1985,40,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"SRH,MI,KKR",MI,2,Capped,150
242,34,AL4,Gulbadin,Naib,Afghanistan,04-06-1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,DC,DC,2,Capped,100
243,34,AL4,Sikandar,Raza,Zimbabwe,24-04-1986,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,PBKS,PBKS,2,Capped,125
244,34,AL4,Mitchell,Santner,New Zealand,05-02-1992,33,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,CSK,CSK,3,Capped,200
245,34,AL4,Jayant,Yadav,India,22-01-1990,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"DC,MI,GT",GT,0,Capped,75
246,35,WK4,Johnson,Charles,West Indies,14-01-1989,36,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Capped,75
247,35,WK4,Litton,Das,Bangladesh,13-10-1994,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,KKR,,,Capped,75
248,35,WK4,Andre,Fletcher,West Indies,28-11-1987,37,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
249,35,WK4,Tom,Latham,New Zealand,02-04-1992,33,WICKETKEEPER,LHB,,,,,Capped,150
250,35,WK4,Ollie,Pope,England,02-01-1998,27,WICKETKEEPER,RHB,,,,,Capped,75
251,35,WK4,Kyle,Verreynne,South Africa,12-05-1997,27,WICKETKEEPER,RHB,,,,,Capped,75
252,36,FA4,Fazalhaq,Farooqi,Afghanistan,22-09-2000,24,BOWLER,RHB,LEFT ARM Fast Medium,SRH,SRH,0,Capped,200
253,36,FA4,Richard,Gleeson,England,02-12-1987,37,BOWLER,RHB,RIGHT ARM Fast,CSK,CSK,2,Capped,75
254,36,FA4,Matt,Henry,New Zealand,14-12-1991,33,BOWLER,RHB,RIGHT ARM Fast Medium,"PBKS,LSG",LSG,4,Capped,200
255,36,FA4,Alzarri,Joseph,West Indies,20-11-1996,28,BOWLER,RHB,RIGHT ARM Fast,"MI,GT,RCB",RCB,3,Capped,200
256,36,FA4,Kwena,Maphaka,South Africa,08-04-2006,18,BOWLER,LHB,LEFT ARM Fast,MI,MI,2,Capped,75
257,36,FA4,Kuldeep,Sen,India,22-10-1996,28,BOWLER,RHB,RIGHT ARM Fast,RR,RR,3,Capped,75
258,36,FA4,Reece,Topley,England,21-02-1994,31,BOWLER,RHB,LEFT ARM Fast,RCB,RCB,4,Capped,75
259,36,FA4,Lizaad,Williams,South Africa,01-10-1993,31,BOWLER,LHB,RIGHT ARM Fast,DC,DC,2,Capped,75
260,36,FA4,Luke,Wood,England,02-08-1995,29,BOWLER,LHB,LEFT ARM Fast,MI,MI,2,Capped,75
261,37,UBA4,Sachin,Dhas,India,03-02-2005,20,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
262,37,UBA4,Leus,Du Plooy,England,12-01-1995,30,BATTER,LHB,,,,,Uncapped,50
263,37,UBA4,Ashwin,Hebbar,India,15-11-1995,29,BATTER,RHB,RIGHT ARM Medium,DC,,,Uncapped,30
264,37,UBA4,Rohan,Kunnummal,India,10-05-1998,26,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
265,37,UBA4,Ayush,Pandey,India,19-09-2003,21,BATTER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
266,37,UBA4,Akshat,Raghuwanshi,India,15-09-2003,21,BATTER,RHB,,,,,Uncapped,30
267,37,UBA4,Shoun,Roger,India,16-10-2002,22,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,40
268,37,UBA4,Virat,Singh,India,08-12-1997,27,BATTER,LHB,RIGHT ARM Off Spin,SRH,,,Uncapped,30
269,38,UAL4,Priyansh,Arya,India,18-09-2001,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
270,38,UAL4,Manoj,Bhandage,India,05-10-1998,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,RCB,RCB,0,Uncapped,30
271,38,UAL4,Pravin,Dubey,India,01-07-1993,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,DC,DC,0,Uncapped,30
272,38,UAL4,Ajay,Mandal,India,25-02-1996,29,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,CSK,CSK,0,Uncapped,30
273,38,UAL4,Prerak,Mankad,India,23-04-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,"PBKS,LSG",LSG,0,Uncapped,30
274,38,UAL4,Vipraj,Nigam,India,28-07-2004,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
275,38,UAL4,Vicky,Ostwal,India,01-09-2002,22,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,DC,DC,0,Uncapped,30
276,38,UAL4,Shivalik,Sharma,India,28-11-1998,26,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,MI,MI,0,Uncapped,30
277,39,UWK4,Salil,Arora,India,07-11-2002,22,WICKETKEEPER,RHB,,,,,Uncapped,30
278,39,UWK4,Dinesh,Bana,India,15-09-2004,20,WICKETKEEPER,RHB,,,,,Uncapped,30
279,39,UWK4,Ajitesh,Guruswamy,India,26-09-2002,22,WICKETKEEPER,RHB,,,,,Uncapped,30
280,39,UWK4,Narayan,Jagadeesan,India,24-12-1995,29,WICKETKEEPER,RHB,,"CSK,KKR",,,Uncapped,30
281,39,UWK4,Shrijith,Krishnan,India,12-08-1996,28,WICKETKEEPER,LHB,,,,,Uncapped,30
282,39,UWK4,Michael,Pepper,England,25-06-1998,26,WICKETKEEPER,RHB,,,,,Uncapped,50
283,39,UWK4,Vishnu,Solanki,India,15-10-1992,32,WICKETKEEPER,RHB,,,,,Uncapped,30
284,40,UFA4,K.M,Asif,India,24-07-1993,31,BOWLER,RHB,RIGHT ARM Fast,"CSK,RR",,,Uncapped,30
285,40,UFA4,Akhil,Chaudhary,India,15-07-2002,22,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
286,40,UFA4,Himanshu,Chauhan,India,18-01-2003,22,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
287,40,UFA4,Arpit,Guleria,India,26-04-1997,27,BOWLER,RHB,RIGHT ARM Fast,LSG,,,Uncapped,30
288,40,UFA4,Nishanth,Saranu,India,03-03-2005,20,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
289,40,UFA4,Kuldip,Yadav,India,15-10-1996,28,BOWLER,LHB,LEFT ARM Fast,RR,,,Uncapped,30
290,40,UFA4,Prithviraj,Yarra,India,20-02-1998,27,BOWLER,LHB,LEFT ARM Fast,"KKR,SRH",,,Uncapped,30
291,41,USP4,Shubham,Agrawal,India,21-11-1993,31,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
292,41,USP4,Jass Inder,Baidwan,India,14-12-1996,28,BOWLER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
293,41,USP4,Jasmer,Dhankhar,India,16-10-1998,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
294,41,USP4,Pulkit,Narang,India,18-06-1994,30,BOWLER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
295,41,USP4,Saumy,Pandey,India,04-11-2004,20,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
296,41,USP4,Mohit,Rathee,India,13-01-1999,26,BOWLER,RHB,RIGHT ARM Leg Spin,PBKS,,,Uncapped,30
297,41,USP4,Himanshu,Singh,India,24-07-2003,21,BOWLER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
298,42,BA5,Towhid,Hridoy,Bangladesh,04-12-2000,24,BATTER,RHB,RIGHT ARM Off Spin,,,,Capped,75
299,42,BA5,Mikyle,Louis,West Indies,19-08-2000,24,BATTER,RHB,,,,,Capped,75
300,42,BA5,Harry,Tector,Ireland,06-12-1999,25,BATTER,RHB,RIGHT ARM Off Spin,,,,Capped,75
301,42,BA5,Rassie,Van Der Dussen,South Africa,07-02-1989,36,BATTER,RHB,RIGHT ARM Off Spin,RR,,,Capped,200
302,42,BA5,Will,Young,New Zealand,22-11-1992,32,BATTER,RHB,,,,,Capped,125
303,42,BA5,Najibullah,Zadran,Afghanistan,28-02-1993,32,BATTER,LHB,,,,,Capped,75
304,42,BA5,Ibrahim,Zadran,Afghanistan,12-01-2001,24,BATTER,RHB,RIGHT ARM Medium,,,,Capped,75
305,43,AL5,Sean,Abbott,Australia,29-02-1992,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"RCB,SRH",,,Capped,200
306,43,AL5,Jacob,Bethell,England,23-10-2003,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,125
307,43,AL5,Brydon,Carse,England,31-07-1995,29,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Capped,100
308,43,AL5,Aaron,Hardie,Australia,07-01-1999,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,125
309,43,AL5,Sarfaraz,Khan,India,22-10-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,"RCB,PBKS,DC",,,Capped,75
310,43,AL5,Kyle,Mayers,West Indies,08-09-1992,32,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,LSG,LSG,0,Capped,150
311,43,AL5,Kamindu,Mendis,Sri Lanka,30-09-1998,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,75
312,43,AL5,Matthew,Short,Australia,08-11-1995,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,PBKS,,,Capped,75
313,44,FA5,Jason,Behrendorff,Australia,20-04-1990,34,BOWLER,RHB,LEFT ARM Fast,"CSK,RCB,MI",MI,0,Capped,150
314,44,FA5,Dushmantha,Chameera,Sri Lanka,11-01-1992,33,BOWLER,RHB,RIGHT ARM Fast,"RR,RCB,LSG,KKR",LSG,1,Capped,75
315,44,FA5,Nathan,Ellis,Australia,22-09-1994,30,BOWLER,RHB,RIGHT ARM Fast Medium,PBKS,PBKS,1,Capped,125
316,44,FA5,Shamar,Joseph,West Indies,31-08-1999,25,BOWLER,LHB,RIGHT ARM Fast,LSG,LSG,1,Capped,75
317,44,FA5,Josh,Little,Ireland,01-11-1999,25,BOWLER,RHB,LEFT ARM Fast Medium,GT,GT,1,Capped,75
318,44,FA5,Shivam,Mavi,India,26-11-1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,"KKR,GT,LSG",GT,0,Capped,75
319,44,FA5,Jhye,Richardson,Australia,20-09-1996,28,BOWLER,RHB,RIGHT ARM Fast,"PBKS,MI,DC",DC,1,Capped,150
320,44,FA5,Navdeep,Saini,India,23-11-1992,32,BOWLER,RHB,RIGHT ARM Fast,"DC,RCB,RR",RR,0,Capped,75
321,45,UBA5,Tanmay,Agarwal,India,03-05-1995,29,BATTER,RHB,RIGHT ARM Leg Spin,SRH,,,Uncapped,30
322,45,UBA5,Amandeep,Khare,India,05-08-1997,27,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
323,45,UBA5,Ayush,Mhatre,India,16-07-2007,17,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
324,45,UBA5,Salman,Nizar,India,30-06-1997,27,BATTER,LHB,,,,,Uncapped,30
325,45,UBA5,Aniket,Verma,India,05-02-2002,23,BATTER,RHB,,,,,Uncapped,30
326,45,UBA5,Sumeet,Verma,India,18-11-1990,34,BATTER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
327,45,UBA5,Manan,Vohra,India,18-07-1993,31,BATTER,RHB,,"PBKS,RCB,RR,LSG",,,Uncapped,30
328,45,UBA5,Samarth,Vyas,India,28-11-1995,29,BATTER,RHB,RIGHT ARM Leg Spin,SRH,,,Uncapped,30
329,46,UAL5,Raj Angad,Bawa,India,12-11-2002,22,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,PBKS,,,Uncapped,30
330,46,UAL5,Emanjot,Chahal,India,17-08-2004,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
331,46,UAL5,Musheer,Khan,India,27-02-2005,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
332,46,UAL5,Manvanth,Kumar L,India,11-01-2004,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Uncapped,30
333,46,UAL5,Mayank,Rawat,India,04-12-1999,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
334,46,UAL5,Suryansh,Shedge,India,29-01-2003,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
335,46,UAL5,Hritik,Shokeen,India,14-08-2000,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,MI,,,Uncapped,30
336,46,UAL5,Sonu,Yadav,India,11-11-1999,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,RCB,,,Uncapped,30
337,47,UWK5,S. Rithik,Easwaran,India,15-02-2002,23,WICKETKEEPER,LHB,,,,,Uncapped,30
338,47,UWK5,Anmol,Malhotra,India,29-11-1995,29,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
339,47,UWK5,Pradosh,Paul,India,21-12-2000,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
340,47,UWK5,Karteek,Sharma,India,25-10-2001,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
341,47,UWK5,Akash,Singh,India,20-12-1995,29,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
342,47,UWK5,Tejasvi,Singh,India,18-04-2002,22,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
343,47,UWK5,Siddharth,Yadav,India,13-08-2003,21,WICKETKEEPER,LHB,RIGHT ARM Medium,,,,Uncapped,30
344,48,UFA5,Saurabh,Dubey,India,23-01-1998,27,BOWLER,RHB,LEFT ARM Fast Medium,SRH,,,Uncapped,30
345,48,UFA5,Aaqib,Khan,India,25-12-2003,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
346,48,UFA5,Kulwant,Khejroliya,India,13-03-1992,33,BOWLER,LHB,LEFT ARM Fast Medium,"MI,RCB,KKR",,,Uncapped,30
347,48,UFA5,Ankit Singh,Rajpoot,India,04-12-1993,31,BOWLER,RHB,RIGHT ARM Fast Medium,"CSK,KKR,PBKS,RR,LSG",,,Uncapped,30
348,48,UFA5,Divesh,Sharma,India,20-04-2001,23,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
349,48,UFA5,Naman,Tiwari,India,08-11-2005,19,BOWLER,LHB,LEFT ARM Fast,,,,Uncapped,30
350,48,UFA5,Prince,Yadav,India,12-12-2001,23,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
351,49,USP5,Kunal Singh,Chibb,India,31-03-1997,28,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
352,49,USP5,Yuvraj,Chudasama,India,23-11-1995,29,BOWLER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,30
353,49,USP5,Deepak,Devadiga,India,14-04-1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
354,49,USP5,Ramesh,Prasad,India,30-01-1994,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
355,49,USP5,Shivam,Shukla,India,11-12-1995,29,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
356,49,USP5,Himanshu,Singh,India,23-09-1997,27,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
357,49,USP5,Tejpreet,Singh,India,11-08-2000,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
358,50,AL6,Qais,Ahmad,Afghanistan,15-08-2000,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
359,50,AL6,Charith,Asalanka,Sri Lanka,29-06-1997,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Capped,75
360,50,AL6,Michael,Bracewell,New Zealand,14-02-1991,34,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,RCB,,,Capped,150
361,50,AL6,Gudakesh,Motie,West Indies,29-03-1995,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,75
362,50,AL6,Daniel,Mousley,England,08-07-2001,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Capped,75
363,50,AL6,Jamie,Overton,England,10-04-1984,41,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Capped,150
364,50,AL6,Dunith,Wellalage,Sri Lanka,09-01-2003,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,75
365,51,FA6,Ottneil,Baartman,South Africa,18-03-1993,32,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Capped,75
366,51,FA6,Xavier,Bartlett,Australia,17-12-1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Capped,75
367,51,FA6,Dilshan,Madushanka,Sri Lanka,18-09-2000,24,BOWLER,RHB,LEFT ARM Fast,MI,MI,0,Capped,75
368,51,FA6,Adam,Milne,New Zealand,13-04-1992,32,BOWLER,RHB,RIGHT ARM Fast,"RCB,MI,CSK",,,Capped,200
369,51,FA6,Lungisani,Ngidi,South Africa,29-03-1996,29,BOWLER,RHB,RIGHT ARM Fast Medium,"CSK,DC",DC,0,Capped,100
370,51,FA6,William,O'Rourke,New Zealand,06-08-2001,23,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,150
371,51,FA6,Chetan,Sakariya,India,28-02-1998,27,BOWLER,LHB,LEFT ARM Medium,"RR,DC,KKR",KKR,0,Capped,75
372,51,FA6,Sandeep,Warrier,India,04-04-1991,34,BOWLER,RHB,RIGHT ARM Fast Medium,"KKR,GT",,,Capped,75
373,52,UBA6,Musaif,Ajaz,India,03-08-2002,22,BATTER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
374,52,UBA6,Agni,Chopra,India,04-11-1998,26,BATTER,LHB,,,,,Uncapped,30
375,52,UBA6,Abhimanyu,Easwaran,India,06-09-1995,29,BATTER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
376,52,UBA6,Sudip,Gharami,India,21-03-1999,26,BATTER,RHB,,,,,Uncapped,30
377,52,UBA6,Shubham,Khajuria,India,13-09-1995,29,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
378,52,UBA6,Akhil,Rawat,India,04-11-2000,24,BATTER,RHB,,,,,Uncapped,30
379,52,UBA6,Prateek,Yadav,India,16-02-1999,26,BATTER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
380,53,UAL6,Abdul,Bazith,India,09-10-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RR,,,Uncapped,30
381,53,UAL6,K.C,Cariappa,India,13-04-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,"PBKS,KKR,RR",,,Uncapped,30
382,53,UAL6,Yuvraj,Chaudhary,India,06-10-2001,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
383,53,UAL6,Aman,Khan,India,23-11-1996,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"KKR,DC",,,Uncapped,30
384,53,UAL6,Sumit,Kumar,India,12-12-1995,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
385,53,UAL6,Kamlesh,Nagarkoti,India,28-12-1999,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,"KKR,DC",,,Uncapped,30
386,53,UAL6,Hardik,Raj,India,10-03-2006,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
387,53,UAL6,Harsh,Tyagi,India,23-12-1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
388,54,UWK6,M.,Ajnas,India,08-05-1997,27,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
389,54,UWK6,Unmukt,Chand,USA,26-03-1993,32,WICKETKEEPER,RHB,,"DC,RR,MI",,,Associate,30
390,54,UWK6,Tejasvi,Dahiya,India,18-04-2002,22,WICKETKEEPER,RHB,,,,,Uncapped,30
391,54,UWK6,Sumit,Ghadigaonkar,India,11-04-1992,32,WICKETKEEPER,RHB,,,,,Uncapped,30
